city,state_id,state_name
Lorain,OH,Ohio
Nampa,ID,Idaho
Fort Lauderdale,FL,Florida
Hemet,CA,California
Newport News,VA,Virginia
Ontario,CA,California
Rancho Cucamonga,CA,California
Vallejo,CA,California
Oceanside,CA,California
Vero Beach South,FL,Florida
Ocala,FL,Florida
Sioux Falls,SD,South Dakota
Danbury,CT,Connecticut
Elk Grove,CA,California
High Point,NC,North Carolina
Garden Grove,CA,California
Peoria,AZ,Arizona
Pembroke Pines,FL,Florida
Medford,OR,Oregon
Murfreesboro,TN,Tennessee
Cary,NC,North Carolina
Lafayette,IN,Indiana
Corona,CA,California
Santa Cruz,CA,California
Spring Hill,FL,Florida
Muskegon,MI,Michigan
Manchester,NH,New Hampshire
Marysville,WA,Washington
Springfield,IL,Illinois
Frederick,MD,Maryland
Hayward,CA,California
Alexandria,VA,Virginia
Bayamón,PR,Puerto Rico
Port Arthur,TX,Texas
Lakewood,CO,Colorado
Fredericksburg,VA,Virginia
Leesburg,FL,Florida
Hollywood,FL,Florida
Palmdale,CA,California
Macon,GA,Georgia
Kansas City,KS,Kansas
Champaign,IL,Illinois
Sunnyvale,CA,California
Pasadena,TX,Texas
Pomona,CA,California
Escondido,CA,California
Mauldin,SC,South Carolina
New Bedford,MA,Massachusetts
Panama City,FL,Florida
Tuscaloosa,AL,Alabama
Warner Robins,GA,Georgia
Naperville,IL,Illinois
Merced,CA,California
Elkhart,IN,Indiana
Joliet,IL,Illinois
Binghamton,NY,New York
Houma,LA,Louisiana
Bellevue,WA,Washington
Topeka,KS,Kansas
Paterson,NJ,New Jersey
Lake Charles,LA,Louisiana
Torrance,CA,California
Thornton,CO,Colorado
Tyler,TX,Texas
Athens,GA,Georgia
Beaumont,TX,Texas
Pueblo,CO,Colorado
Odessa,TX,Texas
Mesquite,TX,Texas
Fairfield,CA,California
Pasadena,CA,California
Charleston,WV,West Virginia
Fullerton,CA,California
Miramar,FL,Florida
Midland,TX,Texas
Gainesville,GA,Georgia
Orange,CA,California
Olathe,KS,Kansas
Santa Maria,CA,California
Surprise,AZ,Arizona
Roseville,CA,California
Metairie,LA,Louisiana
Yuma,AZ,Arizona
Carrollton,TX,Texas
Burlington,NC,North Carolina
West Valley City,UT,Utah
Hampton,VA,Virginia
Racine,WI,Wisconsin
Greeley,CO,Colorado
Harlingen,TX,Texas
Carolina,PR,Puerto Rico
Warren,MI,Michigan
Grand Junction,CO,Colorado
Coral Springs,FL,Florida
Columbia,MO,Missouri
Bloomington,IL,Illinois
Sterling Heights,MI,Michigan
Stamford,CT,Connecticut
Kent,WA,Washington
Bellingham,WA,Washington
Las Cruces,NM,New Mexico
Greenville,NC,North Carolina
Round Rock,TX,Texas
Elizabeth,NJ,New Jersey
South Lyon,MI,Michigan
Simi Valley,CA,California
Santa Clara,CA,California
Yakima,WA,Washington
Johnson City,TN,Tennessee
Dover,DE,Delaware
Pearland,TX,Texas
Lynchburg,VA,Virginia
Fort Smith,AR,Arkansas
Yuba City,CA,California
Lehigh Acres,FL,Florida
Kenosha,WI,Wisconsin
Arecibo,PR,Puerto Rico
Berkeley,CA,California
Boulder,CO,Colorado
Texas City,TX,Texas
Iowa City,IA,Iowa
Waldorf,MD,Maryland
East Los Angeles,CA,California
Redding,CA,California
Arvada,CO,Colorado
The Villages,FL,Florida
Saginaw,MI,Michigan
Ponce,PR,Puerto Rico
Richardson,TX,Texas
Sugar Land,TX,Texas
Leominster,MA,Massachusetts
St. Cloud,MN,Minnesota
Duluth,MN,Minnesota
Cambridge,MA,Massachusetts
Monroe,LA,Louisiana
Independence,MO,Missouri
Rochester,MN,Minnesota
Rock Hill,SC,South Carolina
Bloomington,IN,Indiana
Billings,MT,Montana
Seaside,CA,California
Clearwater,FL,Florida
Brandon,FL,Florida
Burlington,VT,Vermont
Pottstown,PA,Pennsylvania
Waterloo,IA,Iowa
West Jordan,UT,Utah
Coeur d'Alene,ID,Idaho
Westminster,CO,Colorado
St. George,UT,Utah
Gilroy,CA,California
Carlsbad,CA,California
El Monte,CA,California
North Charleston,SC,South Carolina
Chico,CA,California
Temecula,CA,California
Costa Mesa,CA,California
Utica,NY,New York
Clovis,CA,California
Norman,OK,Oklahoma
Elgin,IL,Illinois
Centennial,CO,Colorado
Lowell,MA,Massachusetts
Downey,CA,California
Pompano Beach,FL,Florida
West Palm Beach,FL,Florida
Abilene,TX,Texas
Everett,WA,Washington
Miami Gardens,FL,Florida
Gresham,OR,Oregon
El Centro,CA,California
Richmond,CA,California
Inglewood,CA,California
Salisbury,MD,Maryland
Broken Arrow,OK,Oklahoma
San Buenaventura,CA,California
Sandy Springs,GA,Georgia
Hillsboro,OR,Oregon
Sioux City,IA,Iowa
Jacksonville,NC,North Carolina
Meridian,ID,Idaho
Lewisville,TX,Texas
Bend,OR,Oregon
Daly City,CA,California
Highlands Ranch,CO,Colorado
Jurupa Valley,CA,California
Temple,TX,Texas
Logan,UT,Utah
Kailua,HI,Hawaii
West Covina,CA,California
Davie,FL,Florida
Columbia,MD,Maryland
League City,TX,Texas
Mandeville,LA,Louisiana
San Tan Valley,AZ,Arizona
Turlock,CA,California
Norwalk,CA,California
Allen,TX,Texas
San Germán,PR,Puerto Rico
San Mateo,CA,California
Rialto,CA,California
Burbank,CA,California
El Cajon,CA,California
Eau Claire,WI,Wisconsin
Sparks,NV,Nevada
Charlottesville,VA,Virginia
Renton,WA,Washington
Idaho Falls,ID,Idaho
Vista,CA,California
Holland,MI,Michigan
Longmont,CO,Colorado
Wichita Falls,TX,Texas
Lafayette,CO,Colorado
Vacaville,CA,California
Spokane Valley,WA,Washington
La Crosse,WI,Wisconsin
Carmel,IN,Indiana
Boca Raton,FL,Florida
Longview,TX,Texas
Kingsport,TN,Tennessee
South Fulton,GA,Georgia
Beaverton,OR,Oregon
Rio Rancho,NM,New Mexico
Prescott Valley,AZ,Arizona
Orem,UT,Utah
Edinburg,TX,Texas
San Angelo,TX,Texas
Portsmouth,NH,New Hampshire
Tracy,CA,California
Federal Way,WA,Washington
Lawrence,KS,Kansas
Manteca,CA,California
San Marcos,CA,California
Sandy,UT,Utah
Riverview,FL,Florida
Compton,CA,California
Brockton,MA,Massachusetts
Santa Fe,NM,New Mexico
Hanford,CA,California
Middletown,OH,Ohio
Hesperia,CA,California
Portsmouth,VA,Virginia
South Gate,CA,California
Roswell,GA,Georgia
Sunrise,FL,Florida
Bowling Green,KY,Kentucky
Lee's Summit,MO,Missouri
Slidell,LA,Louisiana
Blacksburg,VA,Virginia
Quincy,MA,Massachusetts
Plantation,FL,Florida
Dearborn,MI,Michigan
Lynn,MA,Massachusetts
Livonia,MI,Michigan
Missoula,MT,Montana
Arden-Arcade,CA,California
Fishers,IN,Indiana
Mayagüez,PR,Puerto Rico
Terre Haute,IN,Indiana
Edmond,OK,Oklahoma
Menifee,CA,California
Vineland,NJ,New Jersey
Santa Monica,CA,California
Alafaya,FL,Florida
Suffolk,VA,Virginia
Carson,CA,California
Kirkland,WA,Washington
Westminster,CA,California
San Leandro,CA,California
Lawton,OK,Oklahoma
Bismarck,ND,North Dakota
Dover,NH,New Hampshire
Town 'n' Country,FL,Florida
Fall River,MA,Massachusetts
Rapid City,SD,South Dakota
Germantown,MD,Maryland
Miami Beach,FL,Florida
Mount Pleasant,SC,South Carolina
Albany,GA,Georgia
Chino,CA,California
Norwalk,CT,Connecticut
Florence,SC,South Carolina
State College,PA,Pennsylvania
Livermore,CA,California
Conroe,TX,Texas
Newton,MA,Massachusetts
O'Fallon,MO,Missouri
Dalton,GA,Georgia
Citrus Heights,CA,California
Jackson,MI,Michigan
Waukegan,IL,Illinois
Muncie,IN,Indiana
Newport Beach,CA,California
Decatur,IL,Illinois
Homosassa Springs,FL,Florida
Port Huron,MI,Michigan
Anderson,IN,Indiana
Bryan,TX,Texas
Hawthorne,CA,California
Hoover,AL,Alabama
Napa,CA,California
Bloomington,MN,Minnesota
Clifton,NJ,New Jersey
Springfield,OH,Ohio
Hattiesburg,MS,Mississippi
Whittier,CA,California
Largo,FL,Florida
Lake Forest,CA,California
New Braunfels,TX,Texas
Johns Creek,GA,Georgia
Redwood City,CA,California
Alhambra,CA,California
Troy,MI,Michigan
Mission,TX,Texas
Alton,IL,Illinois
Goodyear,AZ,Arizona
Fort Myers,FL,Florida
Williamsburg,VA,Virginia
Chino Hills,CA,California
Melbourne,FL,Florida
Buena Park,CA,California
Kankakee,IL,Illinois
Atascocita,TX,Texas
Loveland,CO,Colorado
Westland,MI,Michigan
Cicero,IL,Illinois
Pine Hills,FL,Florida
San Ramon,CA,California
Cranston,RI,Rhode Island
Somerville,MA,Massachusetts
Silver Spring,MD,Maryland
Warwick,RI,Rhode Island
Joplin,MO,Missouri
Farmington Hills,MI,Michigan
Auburn,WA,Washington
Deerfield Beach,FL,Florida
Tustin,CA,California
Franklin,TN,Tennessee
Anderson,SC,South Carolina
Lebanon,PA,Pennsylvania
Springdale,AR,Arkansas
Yauco,PR,Puerto Rico
Madera,CA,California
Brooklyn Park,MN,Minnesota
Mountain View,CA,California
Lawrence,MA,Massachusetts
Pleasanton,CA,California
Alameda,CA,California
Zephyrhills,FL,Florida
Lakewood,CA,California
Flagstaff,AZ,Arizona
Florence,AL,Alabama
Folsom,CA,California
New Rochelle,NY,New York
St. Joseph,MO,Missouri
Texarkana,TX,Texas
Plymouth,MN,Minnesota
Flower Mound,TX,Texas
Valdosta,GA,Georgia
Pharr,TX,Texas
Parma,OH,Ohio
Newark,OH,Ohio
Elizabethtown,KY,Kentucky
Davis,CA,California
St. Augustine,FL,Florida
Boynton Beach,FL,Florida
Perris,CA,California
Anniston,AL,Alabama
Sumter,SC,South Carolina
Upland,CA,California
Layton,UT,Utah
Kendall,FL,Florida
Morgantown,WV,West Virginia
Cedar Park,TX,Texas
Auburn,AL,Alabama
Camarillo,CA,California
Cheyenne,WY,Wyoming
Bellflower,CA,California
Watsonville,CA,California
Hammond,IN,Indiana
Baytown,TX,Texas
Wausau,WI,Wisconsin
Wyoming,MI,Michigan
Alexandria,LA,Louisiana
Hammond,LA,Louisiana
Baldwin Park,CA,California
Carmichael,CA,California
Battle Creek,MI,Michigan
Bethlehem,PA,Pennsylvania
Fajardo,PR,Puerto Rico
Gary,IN,Indiana
Georgetown,TX,Texas
Missouri City,TX,Texas
Oshkosh,WI,Wisconsin
Milpitas,CA,California
Arlington Heights,IL,Illinois
Union City,CA,California
Wheeling,WV,West Virginia
Harrisonburg,VA,Virginia
Winchester,VA,Virginia
Buckeye,AZ,Arizona
Rancho Cordova,CA,California
Pocatello,ID,Idaho
Rochester Hills,MI,Michigan
Bolingbrook,IL,Illinois
Pasco,WA,Washington
Hilton Head Island,SC,South Carolina
Centreville,VA,Virginia
Mansfield,OH,Ohio
Evanston,IL,Illinois
Camden,NJ,New Jersey
South Jordan,UT,Utah
Jonesboro,AR,Arkansas
Lake Jackson,TX,Texas
Schaumburg,IL,Illinois
Altoona,PA,Pennsylvania
Apple Valley,CA,California
Conway,AR,Arkansas
Ellicott City,MD,Maryland
Owensboro,KY,Kentucky
Caguas,PR,Puerto Rico
Southfield,MI,Michigan
Framingham,MA,Massachusetts
Cleveland,TN,Tennessee
New Britain,CT,Connecticut
Waukesha,WI,Wisconsin
Dale City,VA,Virginia
Janesville,WI,Wisconsin
Lauderhill,FL,Florida
Pawtucket,RI,Rhode Island
Juana Díaz,PR,Puerto Rico
Pittsburg,CA,California
Redlands,CA,California
Maple Grove,MN,Minnesota
Mansfield,TX,Texas
Woodbury,MN,Minnesota
Wenatchee,WA,Washington
Jackson,TN,Tennessee
Weston,FL,Florida
San Marcos,TX,Texas
Wilmington,DE,Delaware
St. Charles,MO,Missouri
Eldersburg,MD,Maryland
North Richland Hills,TX,Texas
Casas Adobes,AZ,Arizona
Sheboygan,WI,Wisconsin
Lodi,CA,California
Walnut Creek,CA,California
Passaic,NJ,New Jersey
Bristol,TN,Tennessee
Decatur,AL,Alabama
West Bend,WI,Wisconsin
Glen Burnie,MD,Maryland
Lynwood,CA,California
Dothan,AL,Alabama
Broomfield,CO,Colorado
Lima,OH,Ohio
Florida,PR,Puerto Rico
Homestead,FL,Florida
Delray Beach,FL,Florida
Daytona Beach,FL,Florida
Bossier City,LA,Louisiana
Poinciana,FL,Florida
Parkersburg,WV,West Virginia
Rockville,MD,Maryland
Yorba Linda,CA,California
Union City,NJ,New Jersey
Palo Alto,CA,California
Redmond,WA,Washington
Longview,WA,Washington
Bay City,MI,Michigan
Dubuque,IA,Iowa
Porterville,CA,California
Gaithersburg,MD,Maryland
Palatine,IL,Illinois
Rogers,AR,Arkansas
Mount Vernon,WA,Washington
El Paso de Robles,CA,California
Mount Vernon,NY,New York
Sherman,TX,Texas
Rocklin,CA,California
Hanover,PA,Pennsylvania
Rome,GA,Georgia
Lehi,UT,Utah
South San Francisco,CA,California
Kenner,LA,Louisiana
Guaynabo,PR,Puerto Rico
West Des Moines,IA,Iowa
Redondo Beach,CA,California
DeKalb,IL,Illinois
Petaluma,CA,California
Alpharetta,GA,Georgia
Carbondale,IL,Illinois
Tamarac,FL,Florida
Victoria,TX,Texas
Albany,OR,Oregon
Eagan,MN,Minnesota
Saratoga Springs,NY,New York
Corvallis,OR,Oregon
North Little Rock,AR,Arkansas
Glens Falls,NY,New York
Michigan City,IN,Indiana
Ames,IA,Iowa
Shawnee,KS,Kansas
Eastvale,CA,California
Lakeville,MN,Minnesota
Weirton,WV,West Virginia
Rowlett,TX,Texas
Guayama,PR,Puerto Rico
Schenectady,NY,New York
Sammamish,WA,Washington
Castle Rock,CO,Colorado
Jupiter,FL,Florida
Bayonne,NJ,New Jersey
Bethesda,MD,Maryland
Blaine,MN,Minnesota
Laguna Niguel,CA,California
Wellington,FL,Florida
San Clemente,CA,California
Florence-Graham,CA,California
Ankeny,IA,Iowa
East Orange,NJ,New Jersey
Tulare,CA,California
Eden Prairie,MN,Minnesota
Noblesville,IN,Indiana
Castro Valley,CA,California
Port Charlotte,FL,Florida
Lake Elsinore,CA,California
Fairbanks,AK,Alaska
South Hill,WA,Washington
Twin Rivers,NJ,New Jersey
Bellevue,NE,Nebraska
Casper,WY,Wyoming
Dublin,CA,California
Dundalk,MD,Maryland
Port Orange,FL,Florida
Haverhill,MA,Massachusetts
Grand Forks,ND,North Dakota
The Hammocks,FL,Florida
Pflugerville,TX,Texas
Elmira,NY,New York
Skokie,IL,Illinois
Sebring,FL,Florida
Brentwood,CA,California
Encinitas,CA,California
La Habra,CA,California
Brentwood,NY,New York
Springfield,OR,Oregon
Coon Rapids,MN,Minnesota
Montebello,CA,California
Waltham,MA,Massachusetts
Pico Rivera,CA,California
North Miami,FL,Florida
Council Bluffs,IA,Iowa
Doral,FL,Florida
Hamilton,OH,Ohio
Great Falls,MT,Montana
Rocky Mount,NC,North Carolina
Chapel Hill,NC,North Carolina
Palm Harbor,FL,Florida
Moore,OK,Oklahoma
Burnsville,MN,Minnesota
Spring,TX,Texas
Reston,VA,Virginia
National City,CA,California
Taylor,MI,Michigan
Coconut Creek,FL,Florida
Millcreek,UT,Utah
Malden,MA,Massachusetts
Marietta,GA,Georgia
Leander,TX,Texas
Monterey Park,CA,California
Lakewood,WA,Washington
Wesley Chapel,FL,Florida
Novi,MI,Michigan
Sanford,FL,Florida
La Mesa,CA,California
Bristol,CT,Connecticut
Taylorsville,UT,Utah
West Allis,WI,Wisconsin
Cupertino,CA,California
Woodland,CA,California
Pontiac,MI,Michigan
Meriden,CT,Connecticut
Gardena,CA,California
Royal Oak,MI,Michigan
Bartlett,TN,Tennessee
St. Clair Shores,MI,Michigan
San Rafael,CA,California
Fountainebleau,FL,Florida
Greenwood,IN,Indiana
South Whittier,CA,California
Margate,FL,Florida
Orland Park,IL,Illinois
Des Plaines,IL,Illinois
Medford,MA,Massachusetts
White Plains,NY,New York
Bowie,MD,Maryland
Kokomo,IN,Indiana
Hendersonville,TN,Tennessee
Huntington Park,CA,California
Towson,MD,Maryland
St. Peters,MO,Missouri
Santee,CA,California
Midwest City,OK,Oklahoma
Richland,WA,Washington
Bradenton,FL,Florida
Taunton,MA,Massachusetts
Casa Grande,AZ,Arizona
Huntersville,NC,North Carolina
Arcadia,CA,California
Palm Beach Gardens,FL,Florida
Shoreline,WA,Washington
Caldwell,ID,Idaho
Euless,TX,Texas
Smyrna,GA,Georgia
Fountain Valley,CA,California
Tinley Park,IL,Illinois
New Brunswick,NJ,New Jersey
Commerce City,CO,Colorado
Diamond Bar,CA,California
Tamiami,FL,Florida
Kendale Lakes,FL,Florida
Dearborn Heights,MI,Michigan
Lake Havasu City,AZ,Arizona
Parker,CO,Colorado
Oak Lawn,IL,Illinois
Blue Springs,MO,Missouri
Hacienda Heights,CA,California
Highland,CA,California
Kettering,OH,Ohio
Carson City,NV,Nevada
Apex,NC,North Carolina
Chicopee,MA,Massachusetts
Manhattan,KS,Kansas
Southaven,MS,Mississippi
Berwyn,IL,Illinois
Cathedral City,CA,California
Lenexa,KS,Kansas
Brookhaven,GA,Georgia
Normal,IL,Illinois
West Haven,CT,Connecticut
Stonecrest,GA,Georgia
Westchester,FL,Florida
Yucaipa,CA,California
Colton,CA,California
Mount Prospect,IL,Illinois
Grapevine,TX,Texas
Tigard,OR,Oregon
Paramount,CA,California
Aspen Hill,MD,Maryland
Rosemead,CA,California
Elyria,OH,Ohio
Novato,CA,California
Minnetonka,MN,Minnesota
Leesburg,VA,Virginia
Apple Valley,MN,Minnesota
Aloha,OR,Oregon
Summerville,SC,South Carolina
West Sacramento,CA,California
Pinellas Park,FL,Florida
Revere,MA,Massachusetts
Severn,MD,Maryland
Hoboken,NJ,New Jersey
DeSoto,TX,Texas
Wheaton,IL,Illinois
St. Cloud,FL,Florida
Palm Desert,CA,California
Peabody,MA,Massachusetts
Milford city ,CT,Connecticut
Delano,CA,California
Apopka,FL,Florida
West New York,NJ,New Jersey
Edina,MN,Minnesota
Queen Creek,AZ,Arizona
Oak Park,IL,Illinois
Bentonville,AR,Arkansas
Placentia,CA,California
Kentwood,MI,Michigan
Perth Amboy,NJ,New Jersey
Burien,WA,Washington
Levittown,NY,New York
Wylie,TX,Texas
Grand Island,NE,Nebraska
Florissant,MO,Missouri
Wheaton,MD,Maryland
Glendora,CA,California
Lacey,WA,Washington
Smyrna,TN,Tennessee
Madison,AL,Alabama
Catalina Foothills,AZ,Arizona
Collierville,TN,Tennessee
Methuen Town,MA,Massachusetts
Hoffman Estates,IL,Illinois
Country Club,FL,Florida
Aliso Viejo,CA,California
Maricopa,AZ,Arizona
Galveston,TX,Texas
Plainfield,NJ,New Jersey
Stillwater,OK,Oklahoma
Enid,OK,Oklahoma
Lakewood,OH,Ohio
Coral Gables,FL,Florida
Levittown,PA,Pennsylvania
Rowland Heights,CA,California
Twin Falls,ID,Idaho
Little Elm,TX,Texas
Kannapolis,NC,North Carolina
Poway,CA,California
North Bethesda,MD,Maryland
Mishawaka,IN,Indiana
West Lafayette,IN,Indiana
Azusa,CA,California
Dunwoody,GA,Georgia
Cerritos,CA,California
Wilson,NC,North Carolina
Downers Grove,IL,Illinois
Troy,NY,New York
Portage,MI,Michigan
Cuyahoga Falls,OH,Ohio
Bedford,TX,Texas
Cypress,CA,California
Lawrence,IN,Indiana
Murray,UT,Utah
St. Louis Park,MN,Minnesota
Florin,CA,California
Columbus,IN,Indiana
San Jacinto,CA,California
North Highlands,CA,California
Draper,UT,Utah
McLean,VA,Virginia
Tuckahoe,VA,Virginia
Antelope,CA,California
East Lansing,MI,Michigan
Palm Springs,CA,California
Ceres,CA,California
University,FL,Florida
Cedar Hill,TX,Texas
Bozeman,MT,Montana
Rancho Santa Margarita,CA,California
Beaumont,CA,California
La Mirada,CA,California
Lincoln,CA,California
Newark,CA,California
Wauwatosa,WI,Wisconsin
Niagara Falls,NY,New York
Jeffersonville,IN,Indiana
Minot,ND,North Dakota
Dublin,OH,Ohio
Covina,CA,California
Roswell,NM,New Mexico
Chesterfield,MO,Missouri
East Providence,RI,Rhode Island
Ocoee,FL,Florida
San Luis Obispo,CA,California
Beavercreek,OH,Ohio
Glenview,IL,Illinois
Marana,AZ,Arizona
Roseville,MI,Michigan
Burleson,TX,Texas
East Honolulu,HI,Hawaii
El Dorado Hills,CA,California
Mentor,OH,Ohio
Keller,TX,Texas
Euclid,OH,Ohio
Salina,KS,Kansas
Elmhurst,IL,Illinois
Middletown,CT,Connecticut
Bothell,WA,Washington
Titusville,FL,Florida
Everett,MA,Massachusetts
Potomac,MD,Maryland
Littleton,CO,Colorado
Horizon West,FL,Florida
Biloxi,MS,Mississippi
Fort Pierce,FL,Florida
Kyle,TX,Texas
Coachella,CA,California
Oro Valley,AZ,Arizona
Hilo,HI,Hawaii
Herriman,UT,Utah
Rockwall,TX,Texas
Pearl City,HI,Hawaii
Lake Ridge,VA,Virginia
Attleboro,MA,Massachusetts
Sicklerville,NJ,New Jersey
Farmington,NM,New Mexico
Oakland Park,FL,Florida
Danville,CA,California
Winter Garden,FL,Florida
Plainfield,IL,Illinois
Morgan Hill,CA,California
Strongsville,OH,Ohio
San Bruno,CA,California
